Date,Ccy Pair,Delta,Tenor,Volatility,Delta Type
2021-11-18,EUR/USD,0.1,1W,0.021,Spot
2021-11-18,EUR/USD,0.25,1W,0.032,Spot
2021-11-18,EUR/USD,0.5,1W,0.043,Spot
2021-11-18,EUR/USD,0.75,1W,0.044,Spot
2021-11-18,EUR/USD,0.9,1W,0.045,Spot
2021-11-18,EUR/USD,0.1,1M,0.023,Spot
2021-11-18,EUR/USD,0.25,1M,0.033,Spot
2021-11-18,EUR/USD,0.5,1M,0.046,Spot
2021-11-18,EUR/USD,0.75,1M,0.065,Spot
2021-11-18,EUR/USD,0.9,1M,0.048,Spot
2021-11-18,EUR/USD,0.1,1Y,0.023,Spot
2021-11-18,EUR/USD,0.25,1Y,0.033,Spot
2021-11-18,EUR/USD,0.5,1Y,0.043,Spot
2021-11-18,EUR/USD,0.75,1Y,0.045,Spot
2021-11-18,EUR/USD,0.9,1Y,0.058,Spot
