Date,Curve,Term,Instrument,Ccy,Market Rate,Day Counter
2021-12-28,OIS,1D,OIS,USD,0.05,Actual360
2021-12-28,OIS,1W,OIS,USD,0.04025,Actual360
2021-12-28,OIS,2W,OIS,USD,0.0445,Actual360
2021-12-28,OIS,3W,OIS,USD,0.0432,Actual360
2021-12-28,OIS,1M,OIS,USD,0.0451,Actual360
2021-12-28,OIS,2M,OIS,USD,0.0495,Actual360
2021-12-28,OIS,3M,OIS,USD,0.05235,Actual360
2021-12-28,OIS,4M,OIS,USD,0.0547,Actual360
2021-12-28,OIS,5M,OIS,USD,0.065,Actual360
2021-12-28,OIS,6M,OIS,USD,0.07375,Actual360
2021-12-28,OIS,7M,OIS,USD,0.087,Actual360
2021-12-28,OIS,8M,OIS,USD,0.1055,Actual360
2021-12-28,OIS,9M,OIS,USD,0.12665,Actual360
2021-12-28,OIS,10M,OIS,USD,0.1465,Actual360
2021-12-28,OIS,11M,OIS,USD,0.171,Actual360
2021-12-28,OIS,12M,OIS,USD,0.19815,Actual360
2021-12-28,OIS,18M,OIS,USD,0.38265,Actual360
2021-12-28,OIS,2Y,OIS,USD,0.5804,Actual360
2021-12-28,OIS,3Y,OIS,USD,0.85195,Actual360
2021-12-28,OIS,4Y,OIS,USD,1.0047,Actual360
2021-12-28,OIS,5Y,OIS,USD,1.10665,Actual360
2021-12-28,OIS,6Y,OIS,USD,1.1935,Actual360
2021-12-28,OIS,7Y,OIS,USD,1.26275,Actual360
2021-12-28,OIS,8Y,OIS,USD,1.31475,Actual360
2021-12-28,OIS,9Y,OIS,USD,1.355,Actual360
2021-12-28,OIS,10Y,OIS,USD,1.39,Actual360
2021-12-28,OIS,12Y,OIS,USD,1.4434,Actual360
2021-12-28,OIS,15Y,OIS,USD,1.49375,Actual360
2021-12-28,OIS,20Y,OIS,USD,1.5355,Actual360
2021-12-28,OIS,25Y,OIS,USD,1.5301,Actual360
2021-12-28,OIS,30Y,OIS,USD,1.511,Actual360
2021-12-28,OIS,40Y,OIS,USD,1.407,Actual360
2021-12-28,OIS,50Y,OIS,USD,1.28895,Actual360
